name,address,reclat,reclong
NEON Collinwood Health Center,"15322 St. Clair Avenue Cleveland, OH 44102",41.5547645,-81.5731386
NEON Hough Health Center,"8300 Hough Avenue Cleveland, OH 44110",41.5091249,-81.6296664
Ohio Expo Center & State Fair -,"717 E 17th Ave Cincinnati, OH 45211-7915",40.0031207,-82.9917326
OhioHealth Blom Administrative,"3430 Ohio Health Pkwy Columbus, OH 43211",40.0313548,-83.0267233
OhioHealth Ontario Health and Fitness,"1750 W 4th St Marion, OH 43302",40.5886699,-83.1285242
OhioHealth Primary Care - Kenton -,"75 Washington Blvd. Delaware, OH 43015",40.2968798,-83.0714712
OhioHealth Wellness on Wheels -,"2879 Valleyview Dr Obetz, OH 43207",39.8833793,-82.9308251
Old West End Community Health,"2244 Collingwood Blvd. Columbus, OH 43204",41.6654522,-83.5536939
Pandora Family Physicians,"202 Hilty Drive Port Clinton, OH 43452",40.9494869,-83.9681241
Portage County Health Department,"705 Oakwood Street Millersburg, OH 44654",41.1660509,-81.256295
Riesbecks Pharmacy,"56130 National Road Millersburg, OH 44654",40.5545071,-81.9179198
Rite Aid Store 01659,"437 NORTH WOLF CREEK CLEVELAND, OH 44102",39.8396757,-84.4229375
Rite Aid Store 03043,"10090 CHESTER AVE BEACHWOOD, OH 44122",41.5050262,-81.6176364
Rite Aid Store 03181,"14973 SOUTH AVENUE BEACHWOOD, OH 44122",40.90092,-80.6956315
Rite Aid Store 04937,"334 WEST PERKINS AVENUE SANDUSKY, OH 44870",41.4324842,-82.7047418
Rocking Horse Community Health,"651 South Limestone Street Madison, OH 44057",39.9172198,-83.8093702
Scioto County Courthouse Lobby,"602 7th St. Columbus, OH 43210",39.9116221,-82.9886859
Sidney-Shelby County Health,"202 W. Poplar St. Columbus, OH 43210",39.9751862,-83.0092321
South Point Family Medical Center,"55 Township Road 508 E Willoughby, OH 44094",38.4466608,-82.592313
Southeast HealthCare Cadiz,"243 S Main St South Point, OH 45680",38.4852906,-82.5652333
Southeast Inc,"16 West Long Street Cadiz, OH 43907",39.965111,-83.0016827
Southeastern Ohio Regional Medical,"1341 Clark Street Cadiz, OH 43907",40.2718515,-80.9978839
Southern Ohio Medical Center Main,"1805 27th Streeet Cambridge, OH 43725",40.0411993,-81.5775847
Southwest General,"18697 Bagley Rd Portsmouth, OH 45662",38.7634592,-82.9391734
Spartan Health Center,"1 Spartan Way Middleburg Heights, OH 44130",41.370727,-81.8319943
Springdale Health Department,"11700 Springfield Pike Lima, OH 45801",39.2891059,-84.484751
St Vincent Charity Medical Center,"2351 E. 22nd St Cincinnati, OH 45246",41.4962724,-81.6731893
St. Elizabeth Boardman Hospital,"8401 Market Street Cleveland, OH 44115",40.9943058,-80.660142
Summa Health Akron Campus,"141 North Forge Street Boardman, OH 44512",41.0821139,-81.5012108
Summa Health Barberton Campus,"155 Fifth Street NE Akron, OH 44304",41.0148045,-81.5894562
Summit County Public Health,"1867 W. Market Street Barberton, OH 44203",41.1142935,-81.5741239
Swisher and Lohse Drugs,"636 E Main St Akron, OH 44313",41.1536979,-81.3488738
The Bellevue Hospital,"1400 West Main Street Pomeroy, OH 45769",39.0085725,-82.045547
The Christ Hospital Joint and Spine,"2139 Auburn Ave Bellevue, OH 44811",39.1210456,-84.5095597
The Christ Hospital Joint and Spine,"2139 Auburn Ave Bellevue, OH 44811",39.1210456,-84.5095597
The Gym at Eagles Point,"307 North Cherry St Cincinnati, OH 45219",39.1610162,-84.5425557
The Jewish Hospital Deerfield Imaging,"5075 Parkway Dr Suite 106 Eaton, OH 45320",39.3023575,-84.3161633
The Kroger Co.,"1501 West 5th St Mason, OH 45040",39.3585759,-84.3226488
Third Street Family Health Services,"600 W 3rd Street Marysville, OH 43040",40.2396066,-83.3748991
Tiffin Community Health Center,"1344 Seneca Ave. Mansfield, OH 44906",41.1078445,-83.1968418
Toledo Lucas County Health,"635 N. Erie Street Tiffin, OH 44883",41.1237807,-83.1747674
Tonys Pharmacy,"3114 Clark Ave Tiffin, OH 44883",41.1240378,-83.1641456
Toronto Apothecary,"1361 Franklin St Cleveland, OH 44050",41.4873682,-81.7004794
TriHealth McCullough-Hyde Memorial,"110 North Poplar Street Toronto, OH 43963",39.5122201,-84.7414515
Trinity Health - Prime Time Senior,"300 Lovers Lane Oxford, OH 45011",39.5069974,-84.745231
Trinity Hospital West,"4000 Johnson Ave Steubenville, OH 43952",40.3681352,-80.6579161
TriPoint Medical Center,"7590 Auburn Road Steubenville, OH 43952",41.6626866,-81.2470561
Trumbull County Combined Health,"176 Chestnut Ave NE Concord, OH 44077",41.7094447,-81.2590891
Trumbull Regional Medical Center,"1350 East Market Street Concord, OH 44077",41.235851,-80.7990834
UC Gardner Neuroscience Institute,"3113 Bellevue Ave. Warren, OH 44482",39.1356663,-84.5043043
UD Arena (Miami Valley Hospital),"1801 S Edwin C Moses Blvd Cincinnati, OH 45229",39.7355874,-84.199714
Union County Fairgrounds,"845 North Main Street Dayton, OH 45417",39.7718628,-84.1965345
Union County Health Department,"940 London Avenue Suite 1100B Marysville, OH 43040",40.2242025,-83.3694226
University Hospitals Cleveland Medical,"11100 Euclid Avenue Marysville, OH 43040",41.5070054,-81.6046947
University Hospitals Home Care,"4510 Richmond Road Cleveland, OH 44106",41.4372729,-81.5001653
University Hospitals Management,"3605 Warrensville Center Rd Warrensville Heights, OH 44128",41.4617365,-81.5354974
University of Toledo Medical Center,"3000 Arlington Ave Shaker Heights, OH 44122",41.6166905,-83.6158441
Upper Valley Medical Center,"3130 N. County Rd. 25A Toledo, OH 43614",40.0860799,-84.2300048
Valley View Health Center-Waverly,"227 Valley View Drive Troy, OH 45373",40.0758045,-84.1972129
Van Wert County General Health,"1179 Westwood Drive Suite 300 Troy, OH 45373",40.8540544,-84.5953772
Vinton County Health Depatment,"31927 State Route 93 Van Wert, OH 45891",39.8028998,-82.0839182
Violet Township Services Center,"490 N. Center Street Van Wert, OH 45891",40.874112,-84.5885281
Walgreens Pharmacy,"3 W Corry St Pickerington, OH 43130",39.1286512,-84.5107956
Walgreens Pharmacy,"4 E LEAGUE ST Cininnati, OH 45219-1901",41.2473724,-82.6185447
Walgreens Pharmacy,"6 E BAGLEY RD NORWALK, OH 44857-1308",41.3721646,-81.8525676
Walgreens Pharmacy,"9 W MITCHELL AVE BEREA, OH 44017",41.3643894,-81.8594215
Walgreens Pharmacy,"6 E BAGLEY RD AVE BEREA, OH 44017",41.3721646,-81.8525676
Walgreens Pharmacy,"9 W MITCHELL AVE CINCINNATI, OH 45217",39.1601608,-84.5054727
Walgreens Pharmacy,"15 S MAIN ST CINCINNATI, OH 45217",39.1068537,-84.5110407
Walgreens Pharmacy,"19 LONDON RD HUBBARD, OH 44425-2154",40.289827,-83.0694423
Walgreens Pharmacy,"30 W MCKINLEY WAY DELAWARE, OH 43015-2613",40.3154652,-83.0853824
Walgreens Pharmacy,"40 N MERIDIAN RD POLAND, OH 44514-1988",41.092771,-80.7114129
Walgreens Pharmacy,"95 W GARFIELD RD POLAND, OH 44514-1988",40.9146593,-80.652583
Walgreens Pharmacy,"110 LINCOLN WAY W AURORA, OH 44202-6547",40.1804648,-80.8684955
Walgreens Pharmacy,"127 E PLEASANT VALLEY RD MASSILLON, OH 44647-6564",41.3619227,-81.6837131
Walgreens Pharmacy,"132 RICHMOND ST SEVEN HILLS, OH 44131",38.9486757,-84.2799366
Walgreens Pharmacy,"144 E MAIN ST PAINESVILLE, OH 44077-3253",41.725369,-81.2421665
Walgreens Pharmacy,"180 COLEMANS XING RAVENNA, OH 44266-3130",40.2384393,-83.3495655
Walgreens Pharmacy,"183 E DAYTON YELLOW SPRINGS MARYSVILLE, OH 43040-7080",39.7897996,-84.0201172
Walgreens Pharmacy,"300 GREENE ST MARYSVILLE, OH 43040-7080",40.2364486,-83.3671432
Walgreens Pharmacy,"302 CANTON RD MARIETTA, OH 45750-3133",41.0548242,-81.4400017
Walgreens Pharmacy,"318 W PROSPECT RD MARIETTA, OH 45750-3133",39.4123994,-81.4623449
Walgreens Pharmacy,"320 S WATER ST ASHTABULA, OH 44004",41.831546,-80.7570278
Walgreens Pharmacy,"361 E WATERLOO RD ASHTABULA, OH 44004",41.0291345,-81.513674
Walgreens Pharmacy,398 ANDERSON FERRY RD WATERLOO RD,39.0935707,-84.6175574
Walgreens Pharmacy,"400 Public Rd AKRON, OH 44319-1218",40.9793352,-81.5267282
Walgreens Pharmacy,"520 BROADWAY AVE Yorkville, OH 43971",41.3953363,-81.5410661
Walgreens Pharmacy,"521 E Main St BEDFORD, OH 44146-2724",41.3931096,-81.5365094
Walgreens Pharmacy,"562 MAIN ST Jackson, OH 45640-2126",39.0465632,-82.6307907
Walgreens Pharmacy,"600 S MECCA ST Hamilton, OH 45013-3222",41.3201585,-80.7317492
Walgreens Pharmacy,"663 E Aurora Rd CORTLAND, OH 44410-1507",41.3143351,-81.515239
Walgreens Pharmacy,"748 N STATE ST Macedonia, OH 44056-1805",40.145476,-82.924153
Walgreens Pharmacy,"751 RICHMOND RD WESTERVILLE, OH 43082-9066",41.5400794,-81.4967631
Walgreens Pharmacy,"764 HEBRON RD RICHMOND HEIGHTS, OH 44143",40.0308175,-82.4378481
Walgreens Pharmacy,"804 W MARKET ST HEATH, OH 43056-1354",41.0962964,-81.5434382
Walgreens Pharmacy,"805 N COURT ST WARREN, OH 44481",41.1492766,-81.8642126
Walgreens Pharmacy,"834 W MARKET ST MEDINA, OH 44256-1718",41.0964815,-81.5446476
Walgreens Pharmacy,"840 BRITTAIN RD AKRON, OH 44303",41.0855909,-81.4674201
Walgreens Pharmacy,"834 W MARKET ST AKRON, OH 44305",41.0964815,-81.5446476
Walgreens Pharmacy,"840 BRITTAIN RD AKRON, OH 44303",41.0855909,-81.4674201
Walgreens Pharmacy,"850 N BRIDGE ST AKRON, OH 44305",39.3523375,-82.9771343
Walgreens Pharmacy,"859 E MAIN ST CHILLICOTHE, OH 45601-1702",39.3370035,-82.9587997
Walgreens Pharmacy,"900 WOOSTER RD N LANCASTER, OH 43130-3940",41.0299768,-81.5883351
Walgreens Pharmacy,"901 EAST MAIN STREET BARBERTON, OH 44203-1659",41.012833,-81.6051221
Walgreens Pharmacy,"911 N MEMORIAL DR BARNESVILLE, OH 43713-1481",39.7245064,-82.6090872
Walgreens Pharmacy,"911 S MAIN ST LANCASTER, OH 43130-1745",39.7139535,-82.5823225
Walgreens Pharmacy,"925 WOODVILLE RD CENTERVILLE, OH 45458",41.6355115,-83.5160481
Walgreens Pharmacy,"1000 E MAIN ST TOLEDO, OH 43605-3060",41.6436954,-83.5183149
Walgreens Pharmacy,"1000 PARK AVE W GREENVILLE, OH 45331-2802",40.1097692,-84.6244115
Walgreens Pharmacy,"1000 S MAIN ST MANSFIELD, OH 44906-2810",40.7316017,-82.5133234
Walgreens Pharmacy,"1013 N MAIN ST NORTH CANTON, OH 44720-3628",40.8861669,-81.4048294
Walgreens Pharmacy,"1032 HARRISON AVE BOWLING GREEN, OH 43402-1302",39.2578385,-84.8037787
Walgreens Pharmacy,"1033 MILITARY RD HARRISON, OH 45030-1522",39.2536967,-84.7915999
Walgreens Pharmacy,"1090 NORTHVIEW DR ZANESVILLE, OH 43701-1342",39.2194324,-83.6073198
Walgreens Pharmacy,"1101 HILL RD N HILLSBORO, OH 45133-7629",39.9104671,-82.7796269
Walgreens Pharmacy,"1130 S ARLINGTON ST PICKERINGTON, OH 43147-8887",41.0451393,-81.4911754
Walgreens Pharmacy,"1162 HARRISBURG PIKE PICKERINGTON, OH 43147-8887",39.9324273,-83.0473376
Walgreens Pharmacy,"1213 N BARRON ST COLUMBUS, OH 43223-2847",39.9138261,-83.0469168
Walgreens Pharmacy,"1223 CLEVELAND AVE NW EATON, OH 45320-1013",40.8099803,-81.3771612
Walgreens Pharmacy,"1240 Columbus Ave CANTON, OH 44703",40.8100035,-81.4015466
Walgreens Pharmacy,"1260 E CENTRAL AVE Washington Court House, OH 4316..",39.5373688,-83.437579
Walgreens Pharmacy,"1280 DEMOREST RD MIAMISBURG, OH 45342",39.9283074,-83.0896686
Walgreens Pharmacy,"1303 COPLEY RD COLUMBUS, OH 43204",41.0830717,-81.5690487
Walgreens Pharmacy,"1321 DELAWARE AVE AKRON, OH 44320-2766",41.1225661,-81.5458198
Walgreens Pharmacy,"1330 N REYNOLDS RD MARION, OH 43302-6421",41.6528424,-83.6638498
Walgreens Pharmacy,"1400 MICHIGAN ST TOLEDO, OH 43615-4760",41.6645958,-83.5237523
Walgreens Pharmacy,"1415 ROCKSIDE RD SIDNEY, OH 45365-2449",41.4049326,-81.6891884
Walgreens Pharmacy,"1425 N 21ST ST PARMA, OH 44134",41.3916411,-81.7021049
Walgreens Pharmacy,"1776 SEYMOUR AVE GRANDVIEW HEIGHTS, OH 4321..",39.190264,-84.4639444
Walgreens Pharmacy,"1776 SEYMOUR AVE GRANDVIEW HEIGHTS, OH 4321..",39.190264,-84.4639444
Walgreens Pharmacy,"1900 W STATE ST Toronto, OH 43964-1949",40.4642335,-80.6009058
Walgreens Pharmacy,"1910 S REYNOLDS RD Toronto, OH 43964-1949",41.6052662,-83.6655116
Walgreens Pharmacy,"1925 W MARKET STFREMONT, OH 43420-1638",41.1133884,-81.5766942
Walgreens Pharmacy,"1950 WALES RD NE AKRON, OH 44313-6911",40.8205566,-81.5026237
Walgreens Pharmacy,"1982 Eight Mile Rd MASSILLON, OH 44646-4110",39.0872852,-84.3214345
Walgreens Pharmacy,"2001 SUNSET BLVD MASSILLON, OH 44646-4110",40.3700077,-80.6362797
Walgreens Pharmacy,"2012 S UNION AVE STEUBENVILLE, OH 43952-1349",40.3621451,-80.6296467
Walgreens Pharmacy,"2110 STRINGTOWN RD ALLIANCE, OH 44601-4951",39.87928,-83.0592094
Walgreens Pharmacy,"2124 E STATE ST ALLIANCE, OH 44601-4951",40.9016549,-81.0868505
Walgreens Pharmacy,"2135 WARRENSVILLE CENTER RD SALEM, OH 44460-2455",41.5016529,-81.5355289
Walgreens Pharmacy,"2150 E DUBLIN GRANVILLE RD SALEM, OH 44460-2455",40.0871779,-82.9594815
Walgreens Pharmacy,"2320 BOUDINOT AVE NILES, OH 44446-4567",39.128474,-84.60479
Walgreens Pharmacy,"2560 BELMONT AVE CINCINNATI, OH 45238",39.1964758,-84.5531554
Walgreens Pharmacy,"2562 NAVARRE AVE YOUNGSTOWN, OH 44505-2407",41.6360863,-83.4871573
Walgreens Pharmacy,"2600 S SMITHVILLE RD OREGON, OH 43616-3171",39.729696,-84.1407577
Walgreens Pharmacy,"2609 E MAIN ST OREGON, OH 43616-3171",39.956646,-82.9290464
Walgreens Pharmacy,"2615 BRICE RD SPRINGFIELD, OH 45503",39.9269968,-82.8319945
Walgreens Pharmacy,"2710 SALEM AVE REYNOLDSBURG, OH 43068-3420",39.7872325,-84.2356805
Walgreens Pharmacy,"2730 Broadway DAYTON, OH 45406-2730",39.7719425,-84.2152857
Walgreens Pharmacy,"2770 W BROAD ST Lorain, OH 44052-4836",39.9554039,-83.0744894
Walgreens Pharmacy,"3009 W MARKET ST COLUMBUS, OH 43204-2641",41.1289788,-81.6104289
Walgreens Pharmacy,"3015 E LIVINGSTON AVE FAIRLAWNSUMMIT, OH 44333-36..",39.9463841,-82.9162866
Walgreens Pharmacy,"3093 CLEVELAND AVE COLUMBUS, OH 43209-3047",40.0307273,-82.9645218
Walgreens Pharmacy,"3105 GLENDALE MILFORD RD COLUMBUS, OH 43224-3684",39.2535267,-84.4222725
Walgreens Pharmacy,"3141 Tremont Rd CINCINNATI, OH 45241",39.127621,-84.5532613
Walgreens Pharmacy,"3390 ELM RD NE Upper Arlington, OH 43221-2034",41.2651244,-80.7821415
Walgreens Pharmacy,"3415 CLARK AVE WARREN, OH 44483-2614",41.4693103,-81.7069842
Walgreens Pharmacy,"3445 S HIGH ST COLUMBUS, OH 43213",39.8912443,-82.9976107
Walgreens Pharmacy,"3583 E BROAD ST COLUMBUS, OH 43213",39.9725048,-82.9047167
Walgreens Pharmacy,"3445 S HIGH ST COLUMBUS, OH 43207-3693",39.8912443,-82.9976107
Walgreens Pharmacy,"3800 TIPPECANOE RD COLUMBUS, OH 43213-1141",41.0619326,-80.7116527
Walgreens Pharmacy,"3822 PAXTON AVE YOUNGSTOWN, OH 44511",39.1462053,-84.4278748
Walgreens Pharmacy,"4024 FULTON DR NW CINCINNATI, OH 45209-2399",40.8363395,-81.4247986
Walgreens Pharmacy,"4071 LEE RD CANTON, OH 44718",41.44888,-81.563463
Walgreens Pharmacy,"4090 E GALBRAITH RD CLEVELAND, OH 44128-2100",39.2095353,-84.3994552
Walgreens Pharmacy,"4265 STATE RD DEER PARK, OH 45236-2324",41.4381824,-81.7064551
Walgreens Pharmacy,"4281 W 130TH ST CLEVELAND, OH 44109-4204",41.4384773,-81.7792789
Walgreens Pharmacy,"4530 KENNY RD CLEVELAND, OH 44135-4869",41.4359742,-81.8036441
Walgreens Pharmacy,"4580 MONROE ST COLUMBUS, OH 43220",41.6898042,-83.6224549
Walgreens Pharmacy,"4610 PLEASANT AVE TOLEDO, OH 43613",39.3521356,-84.5583373
Walgreens Pharmacy,"4617 E MAIN ST FAIRFIELD, OH 45014-1664",39.3130074,-84.6534031
Walgreens Pharmacy,"4890 N HIGH ST WHITEHALL, OH 43213-3298",40.062136,-83.0190593
Walgreens Pharmacy,"5027 YOUNGSTOWN WARREN RD COLUMBUS, OH 43214-1552",41.2134085,-80.7623147
Walgreens Pharmacy,"5122 TUSCARAWAS ST W NILES, OH 44446-4905",40.7918719,-81.4466319
Walgreens Pharmacy,"5195 N HAMILTON RD CANTON, OH 44708",40.0627706,-82.8636142
Walgreens Pharmacy,"5383 CEMETERY RD COLUMBUS, OH 43230",40.0295374,-83.1602938
Walgreens Pharmacy,"5400 PEARL RD HILLIARD, OH 43026-1502",41.4141685,-81.7339134
Walgreens Pharmacy,"5411 LEAVITT RD PARMA, OH 44129-1545",41.4194238,-82.2081502
Walgreens Pharmacy,"5501 MAHONING AVE LORAIN, OH 44053-2155",41.098944,-80.7643658
Walgreens Pharmacy,"5508 BRIDGETOWN RD AUSTINTOWN, OH 44515-2316",39.1583288,-84.6304382
Walgreens Pharmacy,"5555 NEW ALBANY RD CINCINNATI, OH 45248",40.0977998,-82.8184097
Walgreens Pharmacy,"5644 MAYFIELD RD NEW ALBANY, OH 43054-8825",41.5194583,-81.4761852
Walgreens Pharmacy,"5690 W BROAD ST LYNDHURST, OH 44124-2916",39.9516501,-83.1525881
Walgreens Pharmacy,"5815 SECOR RD GALLOWAY, OH 43119-8127",41.7214076,-83.624783
Walgreens Pharmacy,"5901 SPRINGBORO PIKE TOLEDO, OH 43623-1421",39.6705052,-84.2230145
Walgreens Pharmacy,"6101 ANDREWS RD TOLEDO, OH 43623-1421",41.6497113,-83.6453114
Walgreens Pharmacy,"6201 E Broad St MENTOR ON THE LAKE, OH 4406..",39.9795202,-82.8372195
Walgreens Pharmacy,"6266 GENDER RD Columbus, OH 43213-5500",39.8533503,-82.8276232
Walgreens Pharmacy,"6421 MARKET AVE N CANTON, OH 44721-2490",40.8754863,-81.3644584
Walgreens Pharmacy,"6485 WILMINGTON PIKE DAYTON, OH 45459",39.6391588,-84.1106
Walgreens Pharmacy,"6701 FRANK AVE NW NORTH CANTON, OH 44720-7268",40.8784627,-81.4418899
Walgreens Pharmacy,"6485 WILMINGTON PIKE DAYTON, OH 45459",39.6391588,-84.1106
Walgreens Pharmacy,"6707 N RIDGE RD NORTH CANTON, OH 44720-7268",41.8024722,-81.0477781
Walgreens Pharmacy,"6805 HOSPITAL DR MADISON, OH 44057-2656",40.1027467,-83.1606288
Walgreens Pharmacy,"6900 ROCKSIDE RD DUBLIN, OH 43016-8556",41.3938356,-81.641939
Walgreens Pharmacy,"6901 MIAMI AVE INDEPENDENCE, OH 44131-2324",39.1861396,-84.3643092
Walgreens Pharmacy,"6918 HAMILTON AVE MADEIRA, OH 45243-2632",39.2184156,-84.5488353
Walgreens Pharmacy,"7260 PEARL RD CINCINNATI, OH 45231-5212",41.3681767,-81.8050961
Walgreens Pharmacy,"7888 YORK RD MIDDLEBURG HEIGHTS, OH 4413..",41.3511051,-81.7602577
Walgreens Pharmacy,"7900 E BROAD ST PARMA, OH 44130-7314",39.9859654,-82.7919242
Walgreens Pharmacy,"8060 S MASON MONTGOMERY RD BLACKLICK, OH 43004-8240",39.3216158,-84.3118489
Walgreens Pharmacy,"8614 PRINCETON GLENDALE RD Mason, OH 45040-9597",39.3433422,-84.4608274
Walgreens Pharmacy,"8966 Brecksville Rd Mason, OH 45040-9597",41.3179986,-81.6271782
Walgreens Pharmacy,"9043 DARROW RD Brecksville, OH 44141-2315",41.3118972,-81.4394867
Walgreens Pharmacy,"9166 STATE ROUTE 43 TWINSBURG, OH 44087",41.2402958,-81.3446638
Walgreens Pharmacy,"9520 FIELDS ERTEL RD STREETSBORO, OH 44241-5322",39.2911588,-84.2976332
Walgreens Pharmacy,"10003 FREMONT PIKE STREETSBORO, OH 44241-5322",41.54298,-83.5876886
Walgreens Pharmacy,"11401 UNION AVE PERRYSBURG, OH 43551-3330",41.4639397,-81.6034881
Walgreens Pharmacy,"12777 ROCKSIDE RD LAKEWOOD, OH 44107-3041",41.4013685,-81.5955458
Walgreens Pharmacy,"14501 EUCLID AVE GARFIELD HEIGHTS, OH 44125",41.53175,-81.5808321
Walgreens Pharmacy,"15031 SR 224 E CLEVELAND, OH 44112",41.004281,-84.1259415
Walgreens Pharmacy,"15500 BROADWAY FINDLAY, OH 45840-7764",41.0398182,-83.6511238
Walgreens Pharmacy,"16100 LAKESHORE BLVD MAPLE HEIGHTS, OH 44137",41.5793547,-81.5684903
Walgreens Pharmacy,"16400 CHAGRIN BLVD CLEVELAND, OH 44110",41.4638747,-81.5665837
Walgreens Pharmacy,"16803 LORAIN AVE SHAKER HEIGHTS, OH 44120-3714",41.4500493,-81.8151775
Walgreens Pharmacy,"19980 W 130TH ST CLEVELAND, OH 44111-5510",41.2769432,-81.7858405
Walgreens Pharmacy,"20200 VAN AKEN BLVD STRONGSVILLE, OH 44136-8437",41.4648578,-81.537787
Walgreens Pharmacy,"22401 LAKE SHORE BLVD SHAKER HEIGHTS, OH 44122-3623",41.6109706,-81.525983
Walgreens Pharmacy,"24590 Lorain Rd EUCLID, OH 44123-1312",41.4272436,-81.8949112
Walgreens Pharmacy,"25524 CENTER RIDGE RD North Olmsted, OH 44070-2169",41.4563936,-81.9029254
Walgreens Pharmacy,"27251 Wolf Rd WESTLAKE, OH 44145",41.484252,-81.9224052
Walgreens Pharmacy,"32798 WALKER RD WESTLAKE, OH 44145",41.4937218,-82.0205336
Walgreens Pharmacy,"27251 Wolf Rd AVON LAKE, OH 44012-1443",41.484252,-81.9224052
Walgreens Pharmacy,"32798 WALKER RD AVON LAKE, OH 44012-1443",41.4937218,-82.0205336
Walgreens Pharmacy,"33760 CENTER RIDGE RD Bay Village, OH 44140-2020",41.4015121,-81.9908918
Walgreens Pharmacy,"35279 Vine St NORTH RIDGEVILLE, OH 44039-3..",41.3842511,-82.0189155
Walmart,"100 Mall Dr Willowick, OH 44095-3140",40.36601,-80.6718784
Walmart,"200 S Tuttle Rd Willowick, OH 44095-3140",39.9208918,-83.7468063
Walmart,"250 Tallmadge Rd Steubenville, OH 43952",41.0975112,-81.3840789
Walmart,"804 Pike St Kent, OH 44240",39.4042509,-81.4187982
Walmart,"1221 Georgesville Rd Marietta, OH 45750-3503",39.9268197,-83.1204989
Walmart 1463,"70 Hospitality Dr Columbus, OH 43228",39.6891517,-83.9693222
Walmart 1478,"354 Private Dr. #288 Xenia, OH 45385",39.6847822,-83.9296526
Walmart 1503,"6244 Wilmington Pike South Point, OH 45680",38.4178597,-82.5862699
Walmart 1504,"8800 Kingsridge Dr Centerville, OH 45459",39.6306661,-84.212289
Walmart,"1640 S. Washington St. Miamisburg, OH 45458",39.5978465,-84.1540659
Walmart,"2016 Millennium Blvd Millersburg, OH 44654-8901",41.2741616,-80.7716673
Walmart 2098,"3900 Morse Rd Cortland, OH 44410",40.0601158,-82.9130935
Walmart,"2100 N Bechtle Ave Columbus, OH 43219",39.9515548,-83.8265856
Walmart 2275,"5720 College Corner Pike Springfield, OH 45504",39.5285737,-84.7670279
Walmart,"2400 Harding Hwy Oxford, OH 45056",40.7287556,-84.0600197
Walmart,"2850 Maple Ave Lima, OH 45804",39.9775171,-82.0112506
Walmart,"2875 E State St Zanesville, OH 43701-1723",39.94036,-82.029655
Walmart,"2887 S Arlington Rd Salem, OH 44460",40.9925651,-81.4895553
Walmart,"3200 Atlantic Blvd NE Akron, OH 44312",40.8347205,-81.328252
Walmart,"3201 Princeton Rd Canton, OH 44705",39.388297,-84.507963
Walmart 3447,"3657 E Main st Hamilton, OH 45011",39.9534659,-82.9002284
Walmart,"3520 Hudson Dr Whitehall, OH 43213",41.165531,-81.4793602
Walmart 3749,"2801 Cunningham Rd Stow, OH 44224",39.2490921,-84.429573
Walmart,"3883 Burbank Rd. Stow, OH 44224",40.8476225,-81.9415471
Walmart 4609,"10240 Colerain Ave Wooster, OH 44691",39.2605171,-84.597969
Walmart 5104,"1701 West Dorothy Lane Cincinnati, OH 45251",39.7110366,-84.2016372
Walmart 5184,"6674 Winchester Blvd Moraine, OH 45439",39.8525161,-82.8242187
Walmart 5374,"100A E Washington Jackson Rd Canal Winchester, OH 43110",39.7679041,-84.6340238
Walmart 5466,"1693 Stringtown Rd Eaton, OH 45320",39.8755645,-83.0427322
Walmart 5374,"1693 Stringtown Rd Eaton, OH 45320",39.8755645,-83.0427322
Walmart 5466,"201 Chamber Dr Eaton, OH 45320",39.159445,-84.2802188
Walmart 5499,"6001 Mahoning Ave Milford, OH 45150",41.0979441,-80.7737108
Walmart,"7680 Brandt Pike Austintown, OH 44515",39.8631152,-84.0983159
Walmart,"7730 Sawmill Road Huber Heights, OH 45424",40.1234016,-83.0873184
Walmart,"23605 Airport Rd Dublin, OH 43016",40.2952362,-81.8507811
Walmart,"50739 Valley Plaza Dr Coshocton, OH 43812-9262",40.0755695,-80.8754831
Walmart,"61205 Southgate Rd Saint Clairsville, OH 43950-1751",40.0803199,-80.90176
Walmart,"340 Westwind Dr Saint Clairsville, OH 43950-1751",40.0803199,-80.90176
Walmart Inc,"1996 E Main St Cambridge, OH 43725-8002",40.0247834,-81.5899765
Walmart Inc.,"2052 State Route 53 Ashland, OH 44805-8944",41.3746432,-83.1198285
Walmart Inc.,"5500 Milan Rd Ste 200 Fremont, OH 43420-8628",41.404631,-82.6554334
Walmart Inc.,"9303 Mentor Ave Sandusky, OH 44870-7804",41.6783829,-81.3070604
Walmart Pharmacy 10-1857,"33752 Vine St Mentor, OH 44060-6413",41.6406335,-81.4468561
Walmart Pharmacy 10-1863,"905 Singletary Dr Eastlake, OH 44095-5114",41.655593,-81.444379
Walmart Pharmacy 10-2313,"3551 N Ridge E Eastlake, OH 44095-5114",41.8823337,-80.749849
Walmart Pharmacy 10-2359,"1868 Warrensville Center Road Ashtabula, OH 44004-4313",41.508716,-81.5401014
Walmart Pharmacy 10-2362,"7235 Market Place Dr South Euclid, OH 44121-2686",41.3493605,-81.3896444
Walmart Pharmacy 10-3250,"223 Meadowlands Dr Aurora, OH 44202-8758",41.5853882,-81.2267672
Walmart Pharmacy 10-3293,"6067 N Ridge Rd Chardon, OH 44024-8366",41.8046139,-81.0720764
Walmart Pharmacy 10-3608,"6594 Mayfield Rd Madison, OH 44057-2441",41.5188409,-81.440421
Walmart Pharmacy 10-5083,"15050 S Springdale Ave Mayfield Heights, OH 44124-3218",41.5192189,-81.457896
Walmart Pharmacy 10-5387,"1000 Chestnut Commons Dr Middlefield, OH 44062-9211",41.351013,-82.067101
